zona_inyeccion,zona_extraccion,capacidad_base_firme,uso_base_firme,capacidad_base_firme_temporal,uso_base_firme_temporal,capacidad_base_interrumpible,uso_base_interrumpible,volumetrica,fecha_inicio,fecha_fin,,,Precio Total
Sur,Sur,4.89577,0.01585,4.91162,0.01585,4.89401,0.01585,5.03491,1/1/2016,31/03/2016,,,24.64976133
Sur,Centro,10.81326,0.07357,10.88683,0.07357,10.81176,0.07357,11.4289,1/1/2016,31/03/2016,,,123.5836672
Sur,Occidente,12.38628,0.08909,12.47537,0.08909,12.38469,0.08909,13.12899,1/1/2016,31/03/2016,,,162.6193463
Sur,Golfo,7.96424,0.04336,8.0076,0.04336,7.96059,0.04336,8.3438,1/1/2016,31/03/2016,,,66.45202571
Sur,Norte,12.3113,0.08796,12.33926,0.08796,12.3085,0.08796,13.04508,1/1/2016,31/03/2016,,,160.6018934
Sur,Istmo,10.73376,0.05929,10.79302,0.05929,10.71825,0.05929,11.86292,1/1/2016,31/03/2016,,,127.3337362
Occidente,Sur,0,0,0,0,0,0,0,1/1/2016,31/03/2016,,,0
Occidente,Centro,7.79475,0.04573,7.84048,0.04573,4.68636,0.04573,5.05428,1/1/2016,31/03/2016,,,39.39684903
Occidente,Occidente,4.94573,0.01552,4.95125,0.01552,1.83519,0.01552,1.97916,1/1/2016,31/03/2016,,,9.788390987
Occidente,Golfo,10.86322,0.07324,10.93646,0.07324,7.75294,0.07324,8.37317,1/1/2016,31/03/2016,,,90.95958781
Occidente,Norte,0,0,0,0,0,0,0,1/1/2016,31/03/2016,,,0
Occidente,Istmo,0,0,0,0,0,0,0,1/1/2016,31/03/2016,,,0
Golfo,Sur,0,0,0,0,0,0,0,1/1/2016,31/03/2016,,,0
Golfo,Centro,9.2902,0.05772,9.34792,0.05772,9.28784,0.05772,9.78091,1/1/2016,31/03/2016,,,90.86661008
Golfo,Occidente,10.86322,0.07324,10.93545,0.07324,10.86077,0.07324,11.481,1/1/2016,31/03/2016,,,124.7206288
Golfo,Golfo,6.44118,0.02751,6.46869,0.02751,6.43667,0.02751,6.69581,1/1/2016,31/03/2016,,,43.12891746
Golfo,Norte,10.78824,0.07211,10.86035,0.07211,10.78458,0.07211,11.39709,1/1/2016,31/03/2016,,,122.9545422
Golfo,Istmo,13.80223,0.08677,13.889,0.08677,13.78483,0.08677,15.17181,1/1/2016,31/03/2016,,,209.4048111
Norte,Sur,0,0,0,0,0,0,0,1/1/2016,31/03/2016,,,0
Norte,Centro,0,0,0,0,0,0,0,1/1/2016,31/03/2016,,,0
Norte,Occidente,0,0,0,0,0,0,0,1/1/2016,31/03/2016,,,0
Norte,Golfo,10.78824,0.07211,10.86035,0.07211,10.78458,0.07211,11.39709,1/1/2016,31/03/2016,,,122.9545422
Norte,Norte,7.71977,0.0446,7.76437,0.0446,7.718,0.0446,8.0882,1/1/2016,31/03/2016,,,62.43904371
Norte,Istmo,0,0,0,0,0,0,0,1/1/2016,31/03/2016,,,0
Sur,Sur,3.02709,0.01585,3.04297,0.01585,3.01306,0.01585,3.23251,1/4/2016,30/04/2016,,,9.785098696
Sur,Centro,8.94458,0.07357,9.01883,0.07357,8.93081,0.07357,9.6265,1/4/2016,30/04/2016,,,86.10499937
Sur,Occidente,10.5176,0.08909,10.60738,0.08909,10.50374,0.08909,11.32659,1/4/2016,30/04/2016,,,119.128543
Sur,Golfo,6.09556,0.04336,6.13946,0.04336,6.07964,0.04336,6.5414,1/4/2016,30/04/2016,,,39.87349618
Sur,Norte,10.44262,0.08796,10.53087,0.08796,10.42755,0.08796,11.24268,1/4/2016,30/04/2016,,,117.403035
Sur,Istmo,8.86508,0.05929,8.92415,0.05929,8.8373,0.05929,10.06052,1/4/2016,30/04/2016,,,89.18731464
Occidente,Sur,0,0,0,0,0,0,0,1/4/2016,30/04/2016,,,0
Occidente,Centro,5.92607,0.04573,5.97195,0.04573,5.91324,0.04573,6.36971,1/4/2016,30/04/2016,,,37.74734734
Occidente,Occidente,3.07705,0.01552,3.09258,0.01552,3.06207,0.01552,3.28461,1/4/2016,30/04/2016,,,10.1069092
